user_id,frequency_14d,is_retained_3m,category_regularity_14d,temporal_regularity_14d
2,1,0,1.0,0.5
3,6,1,0.5,0.16666666666666663
6,5,1,0.2,0.5
9,4,1,0.25,0.25
10,3,1,0.6666666666666666,0.5
15,7,0,0.42857142857142855,0.2142857142857143
23,9,1,0.2222222222222222,0.2777777777777778
24,4,1,0.5,0.0
34,7,1,0.5714285714285714,0.2142857142857143
35,5,1,0.4,0.09999999999999998
49,2,0,0.5,0.5
66,8,1,0.25,0.5
67,2,1,1.0,0.5
68,2,1,0.5,0.5
75,1,0,1.0,0.5
76,2,1,0.5,0.5
79,2,0,0.5,0.5
82,1,1,1.0,0.5
86,6,1,0.3333333333333333,0.0
91,1,1,1.0,0.5
96,3,1,0.6666666666666666,0.5
105,8,0,0.375,0.375
149,1,1,1.0,0.5
179,2,1,1.0,0.0
185,1,0,1.0,0.5
189,1,0,1.0,0.5
193,1,1,1.0,0.5
197,1,1,1.0,0.5
201,2,1,0.5,0.5
205,1,1,1.0,0.5
220,2,1,0.5,0.5
225,1,1,1.0,0.5
226,3,1,0.3333333333333333,0.5
229,6,1,0.3333333333333333,0.33333333333333337
239,1,1,1.0,0.5
264,4,0,0.75,0.5
272,3,0,0.3333333333333333,0.16666666666666663
280,4,1,0.5,0.0
286,1,1,1.0,0.5
304,10,1,0.2,0.30000000000000004
305,2,1,1.0,0.5
308,2,1,0.5,0.5
316,6,1,0.16666666666666666,0.5
320,1,1,1.0,0.5
324,1,0,1.0,0.5
329,1,0,1.0,0.5
330,3,0,0.6666666666666666,0.5
338,7,1,0.14285714285714285,0.5
352,3,0,0.3333333333333333,0.16666666666666669
370,2,1,0.5,0.5
371,4,1,0.25,0.5
380,1,0,1.0,0.5
383,1,1,1.0,0.5
393,1,1,1.0,0.5
398,2,1,0.5,0.5
400,3,0,0.3333333333333333,0.5
418,1,0,1.0,0.5
420,2,1,1.0,0.5
430,8,1,0.125,0.5
432,2,1,1.0,0.5
500,2,1,1.0,0.5
510,1,0,1.0,0.5
523,1,1,1.0,0.5
528,2,0,1.0,0.0
534,7,1,0.2857142857142857,0.3571428571428571
561,4,1,0.25,0.25
562,1,1,1.0,0.5
568,1,0,1.0,0.5
569,1,0,1.0,0.5
573,2,1,0.5,0.0
578,1,1,1.0,0.5
583,7,1,0.2857142857142857,0.07142857142857145
584,8,1,0.25,0.375
585,2,0,0.5,0.5
590,3,1,0.6666666666666666,0.16666666666666663
595,2,1,0.5,0.5
602,7,1,0.14285714285714285,0.2142857142857143
604,4,1,0.25,0.5
672,3,1,0.3333333333333333,0.5
674,1,1,1.0,0.5
679,1,1,1.0,0.5
684,1,1,1.0,0.5
719,2,1,0.5,0.0
726,8,1,0.5,0.125
734,1,0,1.0,0.5
744,1,1,1.0,0.5
751,1,0,1.0,0.5
764,1,1,1.0,0.5
805,1,1,1.0,0.5
810,1,1,1.0,0.5
827,1,1,1.0,0.5
840,1,1,1.0,0.5
845,1,0,1.0,0.5
856,2,1,0.5,0.5
859,1,1,1.0,0.5
860,3,1,0.3333333333333333,0.5
884,1,1,1.0,0.5
904,1,1,1.0,0.5
923,1,1,1.0,0.5
932,8,1,0.125,0.375
956,1,1,1.0,0.5
993,3,1,0.3333333333333333,0.16666666666666669
994,3,1,0.3333333333333333,0.16666666666666669
995,1,0,1.0,0.5
996,5,1,0.4,0.09999999999999998
1051,2,1,1.0,0.5
1062,1,1,1.0,0.5
1091,2,0,1.0,0.0
1165,1,1,1.0,0.5
1213,3,1,0.3333333333333333,0.5
1241,1,0,1.0,0.5
1251,1,0,1.0,0.5
1257,1,0,1.0,0.5
1300,1,1,1.0,0.5
1305,5,1,0.4,0.5
1331,2,0,1.0,0.0
1349,3,1,0.3333333333333333,0.5
1359,2,1,0.5,0.5
1378,3,1,0.3333333333333333,0.16666666666666663
1382,2,0,0.5,0.5
1387,1,0,1.0,0.5
1391,2,1,1.0,0.5
1396,2,0,0.5,0.5
1411,13,1,0.3076923076923077,0.2692307692307693
1417,2,0,0.5,0.5
1428,1,1,1.0,0.5
1438,1,0,1.0,0.5
1487,1,1,1.0,0.5
1497,4,1,0.75,0.5
1524,1,1,1.0,0.5
1525,1,0,1.0,0.5
1535,3,1,0.6666666666666666,0.16666666666666669
1548,1,0,1.0,0.5
1550,1,0,1.0,0.5
1580,4,1,0.5,0.25
1582,1,1,1.0,0.5
1615,1,1,1.0,0.5
1619,1,0,1.0,0.5
1649,1,0,1.0,0.5
1654,2,1,1.0,0.5
1664,1,1,1.0,0.5
1749,6,1,0.3333333333333333,0.5
1761,1,0,1.0,0.5
1803,5,0,0.8,0.09999999999999998
1869,1,1,1.0,0.5
1874,3,0,0.3333333333333333,0.5
1886,3,1,0.6666666666666666,0.5
1889,8,1,0.375,0.375
1920,1,0,1.0,0.5
1958,1,1,1.0,0.5
1984,18,1,0.16666666666666666,0.11111111111111116
2013,2,1,0.5,0.0
2160,1,1,1.0,0.5
2207,2,0,0.5,0.5
2296,1,0,1.0,0.5
2298,1,0,1.0,0.5
2308,2,0,0.5,0.5
2314,2,1,0.5,0.5
2367,1,1,1.0,0.5
2389,2,1,1.0,0.0
2452,1,0,1.0,0.5
2638,1,0,1.0,0.5
2733,1,1,1.0,0.5
2754,4,1,0.25,0.5
2850,1,1,1.0,0.5
2862,1,0,1.0,0.5
3069,2,1,0.5,0.5
3107,1,0,1.0,0.5
3153,1,0,1.0,0.5
3219,7,1,0.2857142857142857,0.5
3237,1,0,1.0,0.5
3240,2,0,0.5,0.5
3286,9,1,0.3333333333333333,0.38888888888888884
3291,13,0,0.38461538461538464,0.1923076923076923
3302,1,1,1.0,0.5
3304,1,0,1.0,0.5
3309,1,0,1.0,0.5
3330,1,0,1.0,0.5
3419,1,0,1.0,0.5
3515,1,0,1.0,0.5
3656,1,0,1.0,0.5
3760,1,1,1.0,0.5
3785,2,1,0.5,0.5
3918,1,0,1.0,0.5
3924,5,1,0.2,0.30000000000000004
4005,5,0,0.6,0.30000000000000004
4052,3,1,1.0,0.16666666666666663
4074,2,0,1.0,0.5
4184,1,0,1.0,0.5
4200,2,0,0.5,0.5
4239,2,1,0.5,0.5
4292,7,1,0.5714285714285714,0.2142857142857143
4314,1,0,1.0,0.5
4332,2,1,0.5,0.0
4338,1,1,1.0,0.5
4401,1,1,1.0,0.5
4437,2,0,0.5,0.5
4465,2,1,0.5,0.5
4496,2,1,0.5,0.0
4897,1,0,1.0,0.5
4974,2,0,1.0,0.5
5002,5,0,0.6,0.30000000000000004
5039,2,1,0.5,0.5
5055,3,0,0.3333333333333333,0.16666666666666669
5115,2,0,0.5,0.5
5431,1,1,1.0,0.5
5439,4,1,0.5,0.25
5472,1,0,1.0,0.5
