user_id,first_leader_id,dominant_leader_id,stickiness,dominant_stickiness,same_leader
38912,225.0,98256.0,0.08695652173913043,0.21739130434782608,False
38930,53387.0,53387.0,0.28,0.28,True
38937,21198.0,21198.0,0.2,0.2,True
38955,98256.0,1889.0,0.13333333333333333,0.2,False
38968,534.0,534.0,0.3283582089552239,0.3283582089552239,True
39149,534.0,534.0,0.6666666666666666,0.6666666666666666,True
39199,83054.0,1889.0,0.25,0.5,False
39218,7761.0,35.0,0.5,0.5,False
39359,18896.0,316.0,0.022222222222222223,0.14444444444444443,False
39360,88018.0,226.0,0.2,0.4,False
39372,73541.0,66.0,0.3333333333333333,0.3333333333333333,False
39517,584.0,534.0,0.13333333333333333,0.26666666666666666,False
39530,9755.0,105.0,0.05263157894736842,0.10526315789473684,False
39549,35.0,35.0,0.7727272727272727,0.7727272727272727,True
39654,45514.0,534.0,0.03816793893129771,0.16030534351145037,False
39674,10238.0,9755.0,0.5,0.5,False
39741,75800.0,35.0,0.1111111111111111,0.2222222222222222,False
39929,225.0,534.0,0.16666666666666666,0.6666666666666666,False
39969,23353.0,6.0,0.16666666666666666,0.16666666666666666,False
39979,32750.0,32750.0,0.6153846153846154,0.6153846153846154,True
40071,82987.0,1749.0,0.043478260869565216,0.30434782608695654,False
40100,66.0,35.0,0.375,0.5,False
40239,79486.0,35.0,0.1111111111111111,0.7777777777777778,False
40243,35.0,35.0,0.14285714285714285,0.14285714285714285,True
40247,35.0,1411.0,0.05405405405405406,0.13513513513513514,False
40273,88018.0,102842.0,0.15384615384615385,0.3076923076923077,False
40278,225.0,3.0,0.5,0.5,False
40319,9755.0,35.0,0.3333333333333333,0.6666666666666666,False
40331,48293.0,48293.0,1.0,1.0,True
40340,286.0,316.0,0.041666666666666664,0.375,False
40341,1359.0,308.0,0.027777777777777776,0.3055555555555556,False
40353,35.0,40656.0,0.1,0.3,False
40371,1889.0,9.0,0.14285714285714285,0.14285714285714285,False
40383,595.0,7761.0,0.02857142857142857,0.4,False
40433,55335.0,239.0,0.2,0.2,False
40437,534.0,7761.0,0.11627906976744186,0.22093023255813954,False
40463,37571.0,7761.0,0.14285714285714285,0.7857142857142857,False
40505,23353.0,7844.0,0.25,0.25,False
40539,89235.0,35.0,0.13793103448275862,0.5517241379310345,False
40566,7761.0,7761.0,1.0,1.0,True
40650,76.0,76.0,0.2,0.2,True
40654,1411.0,35.0,0.25,0.625,False
40656,83054.0,83054.0,0.11764705882352941,0.11764705882352941,True
40696,255.0,9755.0,0.1,0.26,False
40714,534.0,35.0,0.07692307692307693,0.15384615384615385,False
40775,1411.0,1411.0,0.5,0.5,True
40780,98256.0,73240.0,0.5,0.5,False
40861,561.0,561.0,0.6666666666666666,0.6666666666666666,True
41032,9755.0,105.0,0.2,0.2,False
41090,21198.0,21198.0,0.3125,0.3125,True
41113,21198.0,21198.0,0.4,0.4,True
41186,73541.0,6090.0,0.1111111111111111,0.21693121693121692,False
41303,75800.0,534.0,0.016666666666666666,0.21666666666666667,False
41362,55335.0,60946.0,0.3333333333333333,0.6666666666666666,False
41426,40656.0,595.0,0.3333333333333333,0.3333333333333333,False
41468,6681.0,13957.0,0.13333333333333333,0.8666666666666667,False
41591,44000.0,44000.0,1.0,1.0,True
41641,225.0,225.0,0.5,0.5,True
41819,29604.0,329.0,0.03571428571428571,0.14285714285714285,False
41865,66.0,66.0,0.6,0.6,True
41915,6.0,3.0,0.21428571428571427,0.2857142857142857,False
41963,35.0,35.0,0.25,0.25,True
41986,65642.0,3.0,0.3333333333333333,0.3333333333333333,False
41999,27349.0,7761.0,0.041666666666666664,0.16666666666666666,False
42018,329.0,329.0,0.6666666666666666,0.6666666666666666,True
42041,37571.0,82987.0,0.05405405405405406,0.13513513513513514,False
42163,35.0,9.0,0.16666666666666666,0.3333333333333333,False
42223,595.0,595.0,0.5,0.5,True
42235,35.0,226.0,0.14285714285714285,0.42857142857142855,False
42320,239.0,239.0,0.375,0.375,True
42515,1889.0,1889.0,0.2222222222222222,0.2222222222222222,True
42561,48293.0,40656.0,0.21818181818181817,0.5272727272727272,False
42606,83054.0,34.0,0.2,0.2,False
42718,1359.0,41186.0,0.09523809523809523,0.19047619047619047,False
42822,1359.0,35.0,0.10869565217391304,0.34782608695652173,False
