user_id,first_leader_id,first_event_date,is_retained_90d,days_active
186,35325,2023-11-05 08:00:00,0,9
568,92832,2023-07-27 06:00:00,1,379
1187,1359,2024-10-15 06:00:00,0,21
1684,3,2025-03-08 10:00:00,0,0
1694,35,2023-04-09 01:01:00,0,0
1761,595,2024-09-26 00:01:00,0,0
2823,595,2023-06-03 07:30:00,0,0
2862,1889,2024-03-10 13:00:00,0,0
3153,29501,2024-05-05 17:00:00,0,0
3291,534,2023-07-22 06:30:00,1,277
3309,35,2024-07-30 06:00:00,0,65
3722,3,2025-03-08 10:00:00,0,0
3724,7761,2023-08-21 19:00:00,0,0
3760,7761,2023-08-21 19:00:00,1,378
3905,561,2025-01-29 07:30:00,0,0
3917,3,2025-03-08 10:00:00,0,0
4184,534,2024-06-18 19:30:00,0,0
4200,35,2024-07-30 06:00:00,0,35
4465,1889,2023-03-22 18:50:00,1,674
4897,3,2024-04-14 01:01:00,0,0
5132,534,2023-08-25 19:00:00,0,0
5431,9755,2023-12-23 07:00:00,1,217
5472,225,2024-02-03 07:30:00,0,0
6401,66,2023-06-30 06:00:00,0,0
6576,7761,2023-08-14 19:00:00,0,0
6904,225,2023-02-05 07:30:00,0,0
7179,60946,2023-05-21 12:15:00,0,0
7484,58790,2023-08-06 18:00:00,1,294
8046,534,2023-05-12 19:00:00,0,0
8080,534,2023-02-03 19:00:00,0,35
8192,39741,2023-05-13 06:30:00,0,0
8306,1889,2023-01-11 18:50:00,1,363
8701,40656,2024-01-31 20:00:00,0,0
8818,24304,2024-02-27 19:00:00,0,0
8839,225,2023-02-05 07:30:00,1,512
8974,6390,2024-06-22 06:00:00,0,0
9205,8751,2024-07-05 19:00:00,0,0
9333,7761,2023-10-23 19:00:00,0,0
10048,239,2023-08-05 06:55:00,0,0
10310,42853,2023-09-24 09:00:00,0,0
10944,35,2023-04-09 01:01:00,0,0
11198,35,2024-01-28 17:00:00,0,0
11756,7761,2024-09-16 19:00:00,0,7
12028,29536,2023-11-16 19:00:00,1,477
12093,27349,2023-10-28 07:30:00,1,314
12304,79486,2023-04-21 19:00:00,0,0
12971,35,2024-07-11 06:00:00,0,0
13742,561,2025-01-31 07:30:00,0,0
14012,29536,2024-06-13 19:00:00,0,0
14200,40656,2024-06-07 06:00:00,1,233
14352,27349,2023-10-28 07:30:00,0,42
14361,7761,2024-06-26 19:00:00,0,0
14408,21198,2023-08-19 07:30:00,1,345
14451,3,2025-03-08 10:00:00,0,0
14862,225,2024-02-03 07:30:00,0,0
14992,57292,2024-06-23 07:00:00,0,0
